player_name;club;position;height_cm;weight_kg;age;nationality;season;matches_played;matches_started;minutes_played;points_scored;tries;penalties_scored;penalty_attempts;penalty_success_rate;conversion_attempts;conversion_success_rate;balls_kicked;meters_kicked;tackles_broken;passes;carries;meters_carried;line_breaks;offloads;drop_success_rate;turnovers_won;interceptions;tackles_made;tackle_success_rate;penalties_conceded;yellow_cards;orange_cards;red_cards;points_per_match;tries_per_match;tackles_per_match;meters_per_match;meters_per_carry;minutes_per_match;tackle_efficiency
Nicolas Depoortère;Union Bordeaux-Bègles;Centre;193;87;20;France;2023-2024;22;19;1537;30;6;0;0;0;0;0;12;302;34;70;137;1303;12;12;0;2;0;156;75;3;0;0;0;1.3636363636363635;0.2727272727272727;7.090909090909091;59.22727272727273;9.442028985507246;69.86363636363636;117.0
Nicolas Depoortère;Union Bordeaux-Bègles;Centre;193;87;21;France;2024-2025;19;16;1183;45;9;0;0;0;0;0;16;416;25;70;144;1203;12;10;0;2;0;137;75;7;1;0;0;2.3684210526315788;0.47368421052631576;7.2105263157894735;63.31578947368421;8.296551724137931;62.26315789473684;102.75
Cameron Woki;Union Bordeaux-Bègles;2ème ligne;197;109;25;France ;2023-2024;17;15;1201;0;0;0;0;0;0;0;2;26;11;110;65;349;2;5;0;7;1;141;80;23;2;0;0;0.0;0.0;8.294117647058824;20.529411764705884;5.287878787878788;70.6470588235294;112.8
Cameron Woki;Union Bordeaux-Bègles;2ème ligne;197;109;26;France;2024-2025;23;16;1448;25;5;0;0;0;0;0;1;40;22;130;92;698;9;5;0;5;0;178;82;19;4;0;0;1.0869565217391304;0.21739130434782608;7.739130434782608;30.347826086956523;7.505376344086022;62.95652173913044;145.96
Boris Palu;Union Bordeaux-Bègles;3ème ligne;194;113;27;France;2023-2024;22;10;996;0;0;0;0;0;0;0;0;0;16;57;104;510;1;3;0;2;1;140;86;11;1;0;1;0.0;0.0;6.363636363636363;23.181818181818183;4.857142857142857;45.27272727272727;120.4
Boris Palu;Union Bordeaux-Bègles;3ème ligne;194;113;28;France;2024-2025;23;14;1180;5;1;0;0;0;0;0;1;14;13;67;115;499;0;8;0;2;0;156;90;21;0;0;0;0.21739130434782608;0.043478260869565216;6.782608695652174;21.695652173913043;4.301724137931035;51.30434782608695;140.4
Maxime Lamothe;Union Bordeaux-Bègles;Talonneur;183;109;25;France ;2023-2024;25;19;1303;35;7;0;0;0;0;0;3;99;12;46;114;619;1;2;0;7;0;203;85;9;1;0;0;1.4;0.28;8.12;24.76;5.3826086956521735;52.12;172.55
Maxime Lamothe;Union Bordeaux-Bègles;Talonneur;183;109;26;France;2024-2025;22;14;967;25;5;0;0;0;0;0;4;97;24;54;81;500;2;7;0;1;0;161;83;13;0;0;0;1.1363636363636365;0.22727272727272727;7.318181818181818;22.727272727272727;6.097560975609756;43.95454545454545;133.63
Jefferson Poirot;Union Bordeaux-Bègles;Pilier;181;117;31;France ;2023-2024;19;11;737;10;2;0;0;0;0;0;0;0;0;24;53;224;0;1;0;0;0;121;87;16;0;0;0;0.5263157894736842;0.10526315789473684;6.368421052631579;11.789473684210526;4.148148148148148;38.78947368421053;105.27
Jefferson Poirot;Union Bordeaux-Bègles;Pilier;181;117;33;France;2024-2025;20;15;931;10;2;0;0;0;0;0;0;0;5;23;59;232;1;2;0;3;0;159;85;14;2;0;0;0.5;0.1;7.95;11.6;3.8666666666666667;46.55;135.15
Ihaia West;Stade Rochelais;Ouvreur;175;84;31;New Zealand;2023-2024;23;11;1070;9;0;1;1;25;8;50;58;1606;11;204;67;506;4;6;0;0;1;60;71;1;0;0;0;0.391304347826087;0.0;2.608695652173913;22.0;7.4411764705882355;46.52173913043478;42.6
Ihaia West;Stade Rochelais;Ouvreur;175;84;32;New Zealand;2024-2025;17;9;751;45;0;5;5;71;26;76;55;1861;4;190;28;204;1;1;0;0;0;37;71;2;0;0;0;2.6470588235294117;0.0;2.176470588235294;12.0;7.0344827586206895;44.1764705882353;26.27
Nolann Le Garrec;Stade Rochelais;Demi de mêlée;175;75;21;France;2023-2024;19;17;1190;112;7;9;9;69;45;75;124;3217;34;1045;126;661;17;12;0;1;3;73;62;4;0;0;0;5.894736842105263;0.3684210526315789;3.8421052631578947;34.78947368421053;5.2047244094488185;62.63157894736842;45.26
Nolann Le Garrec;Stade Rochelais;Demi de mêlée;175;75;22;France;2024-2025;19;18;1398;228;11;37;37;82;85;80;148;4454;29;1104;125;821;12;16;0;0;2;88;63;6;0;0;0;12.0;0.5789473684210527;4.631578947368421;43.21052631578947;6.515873015873016;73.57894736842105;55.44
Jules Favre ;Stade Rochelais;Ailier;181;93;24;France;2023-2024;25;21;1573;25;5;0;0;0;0;0;9;243;17;96;115;824;6;4;0;3;0;127;73;7;0;0;0;1.0;0.2;5.08;32.96;7.103448275862069;62.92;92.71
Jules Favre ;Stade Rochelais;Ailier;181;93;26;France;2024-2025;22;18;1421;10;2;0;0;0;0;0;13;260;21;74;104;789;8;7;0;1;0;110;71;3;0;0;0;0.45454545454545453;0.09090909090909091;5.0;35.86363636363637;7.514285714285714;64.5909090909091;78.1
Dillyn Leyds;Stade Rochelais;Arrière;183;88;31;South Africa;2023-2024;20;19;1527;37;6;1;1;33;4;50;30;787;30;76;127;1070;13;4;0;1;1;68;65;11;1;0;0;1.85;0.3;3.4;53.5;8.359375;76.35;44.2
Dillyn Leyds;Stade Rochelais;Arrière;183;88;32;South Africa;2024-2025;21;20;1617;40;8;0;0;0;1;0;44;1493;25;131;139;1234;15;12;0;2;0;68;70;8;1;0;0;1.9047619047619047;0.38095238095238093;3.238095238095238;58.76190476190476;8.814285714285715;77.0;47.6
Ulupano Seuteni;Stade Rochelais;Centre;187;103;31;Australia;2023-2024;17;17;1234;15;3;0;0;0;0;0;11;280;17;51;75;575;2;6;0;2;0;77;63;3;0;0;0;0.8823529411764706;0.17647058823529413;4.529411764705882;33.8235294117647;7.565789473684211;72.58823529411765;48.51
Ulupano Seuteni;Stade Rochelais;Centre;187;103;31;Australia;2024-2025;18;18;1315;5;1;0;0;0;0;0;8;228;28;112;111;861;6;16;0;0;1;104;73;8;0;0;0;0.2777777777777778;0.05555555555555555;5.777777777777778;47.833333333333336;7.6875;73.05555555555556;75.92
Jack Nowell;Stade Rochelais;Ailier;180;98;30;England ;2023-2024;21;20;1531;15;3;0;0;0;0;0;22;916;46;51;154;1176;5;13;0;1;0;80;66;12;1;0;0;0.7142857142857143;0.14285714285714285;3.8095238095238093;56.0;7.587096774193548;72.9047619047619;52.8
Jack Nowell;Stade Rochelais;Ailier;180;98;31;England ;2024-2025;18;18;1409;20;4;0;0;0;0;0;24;767;62;81;151;1216;13;16;0;2;1;89;81;11;1;0;0;1.1111111111111112;0.2222222222222222;4.944444444444445;67.55555555555556;8.0;78.27777777777777;72.09
Grégory Alldritt;Stade Rochelais;3ème ligne;191;113;26;France;2023-2024;12;10;828;10;2;0;0;0;0;0;1;9;14;70;140;773;2;4;0;6;0;144;87;5;0;0;0;0.8333333333333334;0.16666666666666666;12.0;64.41666666666667;5.4822695035460995;69.0;125.28
Grégory Alldritt;Stade Rochelais;3ème ligne;191;113;27;France;2024-2025;15;15;978;5;1;0;0;0;0;0;0;0;36;113;183;826;1;14;0;12;0;127;77;13;0;0;0;0.3333333333333333;0.06666666666666667;8.466666666666667;55.06666666666667;4.489130434782608;65.2;97.79
Uini Atonio;Stade Rochelais;Pilier;196;145;33;New Zealand;2023-2024;15;10;705;5;1;0;0;0;0;0;0;0;3;34;51;232;0;2;0;1;0;49;78;10;0;0;1;0.3333333333333333;0.06666666666666667;3.2666666666666666;15.466666666666667;4.461538461538462;47.0;38.22
Uini Atonio;Stade Rochelais;Pilier;196;145;34;New Zealand;2024-2025;16;12;734;0;0;0;0;0;0;0;1;1;3;34;70;279;0;1;0;0;0;46;75;17;0;0;0;0.0;0.0;2.875;17.4375;3.9295774647887325;45.875;34.5
Will Skelton;Stade Rochelais;2ème ligne;203;145;31;New Zealand;2023-2024;14;12;934;5;1;0;0;0;0;0;0;0;32;53;120;712;4;12;0;3;0;95;85;14;1;0;0;0.35714285714285715;0.07142857142857142;6.785714285714286;50.857142857142854;5.884297520661157;66.71428571428571;80.75
Will Skelton;Stade Rochelais;2ème ligne;203;145;32;New Zealand;2024-2025;20;17;1222;5;1;0;0;0;0;0;0;0;25;64;143;646;3;24;0;6;0;116;84;15;2;0;0;0.25;0.05;5.8;32.3;4.486111111111111;61.1;97.44
Pierre Bourgarit;Stade Rochelais;Talonneur;184;108;26;France;2023-2024;4;2;218;15;3;0;0;0;0;0;1;37;0;5;25;117;2;1;0;1;0;20;69;2;1;0;0;3.75;0.75;5.0;29.25;4.5;54.5;13.8
Pierre Bourgarit;Stade Rochelais;Talonneur;184;108;27;France;2024-2025;9;5;422;15;3;0;0;0;0;0;0;0;12;23;52;309;4;0;0;5;0;57;88;5;1;0;0;1.6666666666666667;0.3333333333333333;6.333333333333333;34.333333333333336;5.830188679245283;46.888888888888886;50.16
Baptiste Serin;RC Toulon;Demi de mêlée;182;83;29;France;2023-2024;17;11;913;23;3;2;2;66;6;50;143;3868;17;535;86;391;6;6;0;1;1;99;75;9;0;0;0;1.3529411764705883;0.17647058823529413;5.823529411764706;23.0;4.494252873563219;53.705882352941174;74.25
Baptiste Serin;RC Toulon;Demi de mêlée;182;83;30;France;2024-2025;24;19;1354;101;7;12;12;85;32;84;223;6556;29;965;121;646;9;17;0;2;3;165;85;16;2;0;0;4.208333333333333;0.2916666666666667;6.875;26.916666666666668;5.295081967213115;56.416666666666664;140.25
Melvyn Jaminet;RC Toulon;Ouvreur;180;80;24;France;2023-2024;15;15;1360;225;4;49;49;144;97;134;143;5406;40;124;201;1767;14;23;0;0;0;22;58;3;0;0;0;15.0;0.26666666666666666;1.4666666666666666;117.8;8.747524752475247;90.66666666666667;12.76
Melvyn Jaminet;RC Toulon;Ouvreur;180;80;25;France;2024-2025;11;7;594;110;4;16;16;66;47;78;68;2899;26;42;77;735;11;3;0;0;0;10;50;2;0;0;0;10.0;0.36363636363636365;0.9090909090909091;66.81818181818181;9.423076923076923;54.0;5.0
Gabin Villière;RC Toulon;Ailier;180;88;27;France;2023-2024;13;13;1019;30;6;0;0;0;0;0;10;262;31;40;88;761;5;10;0;8;3;75;67;11;1;0;0;2.3076923076923075;0.46153846153846156;5.769230769230769;58.53846153846154;8.55056179775281;78.38461538461539;50.25
Gabin Villière;RC Toulon;Ailier;180;88;28;France;2024-2025;16;15;1091;20;4;0;0;0;0;0;14;310;50;48;99;919;12;22;0;5;1;84;67;16;0;0;0;1.25;0.25;5.25;57.4375;9.19;68.1875;56.28
Gaël Drean;RC Toulon;Ailier;184;84;23;France;2023-2024;17;17;1301;30;6;0;0;0;0;0;11;351;23;32;94;1003;17;2;0;1;1;84;72;4;0;0;0;1.7647058823529411;0.35294117647058826;4.9411764705882355;59.0;10.557894736842105;76.52941176470588;60.48
Gaël Drean;RC Toulon;Ailier;184;84;24;France;2024-2025;16;16;1215;60;12;0;0;0;0;0;13;468;32;19;79;814;14;6;0;2;0;54;61;5;0;0;0;3.75;0.75;3.375;50.875;10.175;75.9375;32.94
Jean Baptiste Gros;RC Toulon;Pilier;186;112;24;France;2023-2024;12;6;502;0;0;0;0;0;0;0;0;0;5;7;43;185;0;0;0;0;0;83;85;10;1;0;0;0.0;0.0;6.916666666666667;15.416666666666666;4.204545454545454;41.833333333333336;70.55
Jean Baptiste Gros;RC Toulon;Pilier;186;112;25;France;2024-2025;13;10;610;0;0;0;0;0;0;0;0;0;3;12;44;211;1;4;0;0;0;95;86;10;0;0;1;0.0;0.0;7.3076923076923075;16.23076923076923;4.688888888888889;46.92307692307692;81.7
Setariki Tuicuvu;RC Toulon;Centre;175;94;28;Fiji;2023-2024;25;20;1519;30;6;0;0;0;0;0;15;463;31;67;107;943;8;9;0;4;1;106;72;7;1;0;0;1.2;0.24;4.24;37.72;8.731481481481481;60.76;76.32
Setariki Tuicuvu;RC Toulon;Centre;175;94;29;Fiji;2024-2025;21;11;1123;25;5;0;0;0;0;0;15;408;35;55;106;904;11;17;0;1;1;64;70;4;0;0;0;1.1904761904761905;0.23809523809523808;3.0476190476190474;43.04761904761905;8.448598130841122;53.476190476190474;44.8
Charles Ollivon;RC Toulon;3ème ligne;199;114;30;France;2023-2024;12;11;841;5;1;0;0;0;0;0;0;0;10;70;94;466;4;12;0;0;0;129;82;9;1;0;0;0.4166666666666667;0.08333333333333333;10.75;38.833333333333336;4.905263157894737;70.08333333333333;105.78
